"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categoryName","url"
"Nhà Hàng Hoàng Ty","4","1367","120 Đ. Thành Thái","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 28 3979 7747","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Ho%C3%A0ng%20Ty&query_place_id=ChIJGeUTU8MudTER24DXfRxdEFI"
"Nhà Hàng Hương Cau 2","4","1597","86 Tân Canh","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","https://nhahanghuongcau.vn/","+84 28 3991 9898","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%C6%B0%C6%A1ng%20Cau%202&query_place_id=ChIJkfOCzS0pdTER7Ey-fbKzLrA"
"Quán Nướng 281","4.2","387","004 Chung cư Thuận Việt","Thành phố Hồ Chí Minh","Quận 11, Thành phố Hồ Chí Minh","VN",,"+84 907 442 279","Món nướng","https://www.google.com/maps/search/?api=1&query=Qua%CC%81n%20N%C6%B0%C6%A1%CC%81ng%20281&query_place_id=ChIJYUNTxMAudTERXUGbqpnbnf8"
"Gian Hàng Pé Ú","4.9","27","922/26 Cách Mạng Tháng Tám","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","https://www.facebook.com/share/1EX3fFFiu4/?mibextid=wwXIfr","+84 934 884 380","Quán ăn nhỏ","https://www.google.com/maps/search/?api=1&query=Gian%20H%C3%A0ng%20P%C3%A9%20%C3%9A&query_place_id=ChIJyc41xJEtdTERlCEj0mYrEeY"
"Nha 144","5","4","144 Đ. Đồng Nai","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng món mặn Tây Ban Nha","https://www.google.com/maps/search/?api=1&query=Nha%20144&query_place_id=ChIJTe1oAQIvdTERkAyGFhShLww"
"Ốc Hoà Trường Sa","4.2","1638","1432 Trường Sa","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","https://ochoa.vn/","+84 902 415 451","Nhà hàng hải sản","https://www.google.com/maps/search/?api=1&query=%E1%BB%90c%20Ho%C3%A0%20Tr%C6%B0%E1%BB%9Dng%20Sa&query_place_id=ChIJvcU_PTMpdTERL4iwfK1dEX0"
"Lẩu Dê DƯƠNG KÝ","4.3","509","QQ18 Đ. Ba Vì","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","https://www.facebook.com/laudeduongky","+84 989 036 595","Nhà hàng","https://www.google.com/maps/search/?api=1&query=L%C3%A2%CC%89u%20D%C3%AA%20D%C6%AF%C6%A0NG%20KY%CC%81&query_place_id=ChIJNaySi9AvdTERqolll6TgLXU"
"Hansik Town","4.7","201","52 Trịnh Đình Trọng","Thành phố Hồ Chí Minh","Tân Phú, Thành phố Hồ Chí Minh","VN","https://shopeefood.vn/ho-chi-minh/hansik-town-quan-an-han-quoc-trinh-dinh-trong.6f1ucp","+84 707 351 900","Nhà hàng Hàn Quốc","https://www.google.com/maps/search/?api=1&query=Hansik%20Town&query_place_id=ChIJi8VJOcIvdTERTndjJz7Sq2Y"
"Bếp Nhà Bún Đậu","4.8","16","BB19 Nguyễn Giản Thanh","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 902 477 402","Quán ăn nhỏ","https://www.google.com/maps/search/?api=1&query=B%E1%BA%BFp%20Nh%C3%A0%20B%C3%BAn%20%C4%90%E1%BA%ADu&query_place_id=ChIJr9a20jsvdTER1p9m4shXp3w"
"Trên Tầng Thượng","4.6","2611","540/17 Cách Mạng Tháng Tám","Thành phố Hồ Chí Minh","Quận 3, Thành phố Hồ Chí Minh","VN",,"+84 789 716 767","Quán cà phê","https://www.google.com/maps/search/?api=1&query=Tr%C3%AAn%20T%E1%BA%A7ng%20Th%C6%B0%E1%BB%A3ng&query_place_id=ChIJ3_io66MvdTERjrt36-K0phg"
"Chim Lạc Restaurant","5","8","1220 Trường Sa","Thành phố Hồ Chí Minh","Phú Nhuận, Thành phố Hồ Chí Minh","VN",,"+84 901 245 668","Nhà hàng Việt Nam","https://www.google.com/maps/search/?api=1&query=Chim%20L%E1%BA%A1c%20Restaurant&query_place_id=ChIJ01SA5GQvdTER0GITPfXpxPQ"
"WOW’s Kitchen","4.9","36","686/14 Cách Mạng Tháng Tám","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 942 464 139","Nhà hàng pizza","https://www.google.com/maps/search/?api=1&query=WOW%E2%80%99s%20Kitchen&query_place_id=ChIJT_5PYwCpCjERs088pf0xgUM"
"Quán cơm bình dân Nguyễn Đức Thuần","5","2","287, Đường Âu Cơ, Phường Phú Trung, Quận Tân Phú","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 907 362 003","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20c%C6%A1m%20b%C3%ACnh%20d%C3%A2n%20Nguy%E1%BB%85n%20%C4%90%E1%BB%A9c%20Thu%E1%BA%A7n&query_place_id=ChIJ7Skns74udTERip7eU77wVtE"
"Loving Hut Tây Hồ Vegan","5","6","18/3/17 Tân Trang","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 903 852 843","Nhà hàng cho người ăn chay","https://www.google.com/maps/search/?api=1&query=Loving%20Hut%20T%C3%A2y%20H%E1%BB%93%20Vegan&query_place_id=ChIJo3sNcWMvdTER7SmdVPjkJHY"
"Moon Fast Food","4.7","1214","đối diện ngay cổng sau trường THCS, 162T, Đ. Trường Chinh/013 chung cư CMT8","Thành phố Hồ Chí Minh","Thành phố Hồ Chí Minh","VN","http://www.facebook.com/moonfastfood","+84 906 040 435","Nhà hàng ăn nhanh","https://www.google.com/maps/search/?api=1&query=Moon%20Fast%20Food&query_place_id=ChIJ91ByD0opdTERd-0ZV693rxU"
"Busan Korean Food","3.4","979","4 Đ. Đồng Nai","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","https://www.foody.vn/ho-chi-minh/busan-korean-food-mon-han-quoc-dong-nai","+84 28 3862 2682","Nhà hàng Hàn Quốc","https://www.google.com/maps/search/?api=1&query=Busan%20Korean%20Food&query_place_id=ChIJp0Lo_m4vdTERZrfQpQz2L5U"
"Bò Né(Bò Bít Tết) 1007/25 Lạc Long Quân","5","6","1007/25 Lạc Long Quân","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 908 806 018","Nhà hàng điểm tâm","https://www.google.com/maps/search/?api=1&query=B%C3%B2%20N%C3%A9(B%C3%B2%20B%C3%ADt%20T%E1%BA%BFt)%201007%2F25%20L%E1%BA%A1c%20Long%20Qu%C3%A2n&query_place_id=ChIJEfxgXgAvdTERfe1gfanpoXk"
"Rodstarz - Bún Thái Nguyễn Phương Tân Bình","4.1","84","116/26 Lê Bình","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","https://www.facebook.com/rodstarzmytho/","+84 902 643 388","Nhà hàng Thái Lan","https://www.google.com/maps/search/?api=1&query=Rodstarz%20-%20B%C3%BAn%20Th%C3%A1i%20Nguy%E1%BB%85n%20Ph%C6%B0%C6%A1ng%20T%C3%A2n%20B%C3%ACnh&query_place_id=ChIJe_s0Od6vCjERQQkIKtDqgt0"
"Quán 61","5","7","6 Đường số 1","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng Việt Nam","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%2061&query_place_id=ChIJUVJmDAAvdTERKJBG-dVp0N8"
"Pham Thi Dao Restaurant","4.5","2","10 Đ. Đặng Lộ","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 28 3863 7840","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Pham%20Thi%20Dao%20Restaurant&query_place_id=ChIJv4ZM_csudTERCQ1Pm6Aus0o"
"Bluebird french restaurant","4.3","167","111 Đồng Đen","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","http://thebluebirdvn.com/","+84 906 028 829","Nhà hàng Pháp","https://www.google.com/maps/search/?api=1&query=Bluebird%20french%20restaurant&query_place_id=ChIJW-cE3KwpdTERemLCZlV20lM"
"KOHAKU RAMEN & UDON - BÀU CÁT","4.9","2252","124 Đ. Bàu Cát","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","https://sol.com.vn/category-restaurant/kohaku-udon-ramen/","+84 916 708 499","Nhà hàng mì Udon","https://www.google.com/maps/search/?api=1&query=KOHAKU%20RAMEN%20%26%20UDON%20-%20B%C3%80U%20C%C3%81T&query_place_id=ChIJ7y-r1CcvdTERjqyZs6iG9SY"
"Nhà hàng Ấn Độ Harshit","4.9","154","OPP Of THE New Way Jim, 300 Đ. Âu Cơ","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 376 379 503","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20%E1%BA%A4n%20%C4%90%E1%BB%99%20Harshit&query_place_id=ChIJz_KhzQkvdTERgivBct5H2SA"
"Nhà Hàng 56 - Quận 10 | Nhà Hàng Phòng VIP Quận 10","4.4","52","56 Đ. Đồng Nai","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","https://amthuc56.com/","+84 817 888 998","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%2056%20-%20Qu%E1%BA%ADn%2010%20%7C%20Nh%C3%A0%20H%C3%A0ng%20Ph%C3%B2ng%20VIP%20Qu%E1%BA%ADn%2010&query_place_id=ChIJmV4XzEovdTER8DXdc59a_Qg"
"Nhà hàng SÀI GÒN PN","4.8","12","208 Đồng Đen","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","https://saigonpnrestaurant.com/","+84 917 879 519","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20S%C3%80I%20G%C3%92N%20PN&query_place_id=ChIJYT6e36kvdTER69Tnr3Cy0ns"
"Quán Đường phố","4.1","483","1191 Hoàng Sa","Thành phố Hồ Chí Minh","sơn nhất, Thành phố Hồ Chí Minh","VN",,"+84 908 188 870","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%90%C6%B0%E1%BB%9Dng%20ph%E1%BB%91&query_place_id=ChIJUWEDrtIudTERsQWwd-9o9tg"
"Nhà Hàng Nhẫn Hoa","4.4","239","927/8 Cách Mạng Tháng Tám","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","http://nhanhoatralau.com/","+84 933 366 833","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Nh%E1%BA%ABn%20Hoa&query_place_id=ChIJNcBJN2QvdTERpix9IM5AXvk"
"Ẩm Thực Quê Việt | Đặt tiệc Quận 10 | Nhà Hàng Quận 10 | Mì Sủi Cảo Hồng Phát","4.6","44","Đường Nguyễn Giản Thanh","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","http://amthucqueviet.com/","+84 921 007 755","Nhà hàng","https://www.google.com/maps/search/?api=1&query=%E1%BA%A8m%20Th%E1%BB%B1c%20Qu%C3%AA%20Vi%E1%BB%87t%20%7C%20%C4%90%E1%BA%B7t%20ti%E1%BB%87c%20Qu%E1%BA%ADn%2010%20%7C%20Nh%C3%A0%20H%C3%A0ng%20Qu%E1%BA%ADn%2010%20%7C%20M%C3%AC%20S%E1%BB%A7i%20C%E1%BA%A3o%20H%E1%BB%93ng%20Ph%C3%A1t&query_place_id=ChIJbTuBmM4vdTERlBq91AizKqw"
"Nhà hàng chay Zen House (Zenhouse Cafe & Vegetarian Restaurant)","4.8","2000","60/2 Đ. Vân Côi","Thành phố Hồ Chí Minh","Sơn Nhất, Thành phố Hồ Chí Minh","VN","https://zenhousevietnam.com/","+84 868 960 788","Nhà hàng cho người ăn chay","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20chay%20Zen%20House%20(Zenhouse%20Cafe%20%26%20Vegetarian%20Restaurant)&query_place_id=ChIJY-fIo_UvdTER6000m89c9jo"
"Nhà hàng chay Hoa Vô Ưu","4.9","24","604 Đ. Âu Cơ","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 932 708 998","Nhà hàng món chay","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20chay%20Hoa%20V%C3%B4%20%C6%AFu&query_place_id=ChIJp4hWTgAvdTERKRolhVCfqj8"
"Nhà hàng JCAT","4.6","178","575/31/14 Cách Mạng Tháng Tám","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","https://www.facebook.com/JCATcahoidutlo/","+84 902 699 117","Nhà hàng Pháp","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20JCAT&query_place_id=ChIJXRgif9QodTERjv-cI1dXiMo"
"Quán ăn Heart Kitchen","4.1","129","234 Đồng Đen","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","https://www.foody.vn/ho-chi-minh/heart-kitchen-bo-ne-hau-ne","+84 937 464 186","Nhà hàng món lẩu","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%83n%20Heart%20Kitchen&query_place_id=ChIJibj6RrIudTERqeMGr1RF4Vg"
"Nhà hàng Làng BaBa sông Việt","5","9","76 Cửu Long","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 961 034 894","Nhà hàng gia đình","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20L%C3%A0ng%20BaBa%20s%C3%B4ng%20Vi%E1%BB%87t&query_place_id=ChIJvTB4BQAvdTERk1gOcf2mTlY"
"Nhà hàng Sao Biển","4.1","275","QMM7+485, 15 Nguyễn Giản Thanh","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","https://nhahangsaobien.com/","+84 908 665 577","Nhà hàng hải sản","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20Sao%20Bi%E1%BB%83n&query_place_id=ChIJ9VkKmXQvdTERwPLW7Y_mqiI"
"Nhà Hàng Biển Đông 3","4.2","197","527 Đ. Âu Cơ","Thành phố Hồ Chí Minh","Tân Phú, Thành phố Hồ Chí Minh","VN","http://nhahangbiendong.com/","+84 903 390 278","Nhà hàng giá rẻ","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Bi%E1%BB%83n%20%C4%90%C3%B4ng%203&query_place_id=ChIJoTzF3AwvdTERNT-KIKnjCVM"
"Lạc Bửu - Súp Bào Ngư","4.4","90","BB3 Đ. Trường Sơn","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","https://lacbuu.com/","+84 938 737 074","Nhà hàng bán đồ ăn mang về","https://www.google.com/maps/search/?api=1&query=L%E1%BA%A1c%20B%E1%BB%ADu%20-%20S%C3%BAp%20B%C3%A0o%20Ng%C6%B0&query_place_id=ChIJy0SBrvsvdTER4Zf2tI7Oxaw"
"An La Nho Restaurant","5","2","99 Cửu Long","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 28 6275 6864","Nhà hàng Châu Phi","https://www.google.com/maps/search/?api=1&query=An%20La%20Nho%20Restaurant&query_place_id=ChIJ5QHpk88udTERLkVEDThtdtc"
"Nhà Hàng Aussie Meat","4.3","569","595/29A3 Cách Mạng Tháng Tám","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","http://aussiemeat.com.vn/","+84 913 576 776","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Aussie%20Meat&query_place_id=ChIJfZdXndEudTERr1t6vCLNFUU"
"Nhà hàng ẩm thực 309","3.5","23","309 Đ. Âu Cơ","Thành phố Hồ Chí Minh","Tân Phú, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20%E1%BA%A9m%20th%E1%BB%B1c%20309&query_place_id=ChIJVyNwVbkudTERaDCxBfP1Ty8"
"Nhà hàng Ốc Bươu Vàng","3.9","521","C1-C3 Nguyễn Giản Thanh","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 876 243 624","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20%E1%BB%90c%20B%C6%B0%C6%A1u%20V%C3%A0ng&query_place_id=ChIJk5nN1s8udTERyHZrHAC_FM8"
"Nhà hàng Vị Quảng - CN 3","5","1","QMM3+QCC","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng gia đình","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20V%E1%BB%8B%20Qu%E1%BA%A3ng%20-%20CN%203&query_place_id=ChIJK64VKYQvdTERpbNvE7CM2Dg"
"Tôm Hùm Alaska - Kingcrab MrD","4.4","105","363 Cách Mạng Tháng Tám","Thành phố Hồ Chí Minh","Quận 3, Thành phố Hồ Chí Minh","VN","http://tomhumcanada.com.vn/","+84 941 413 343","Nhà hàng thực phẩm sống","https://www.google.com/maps/search/?api=1&query=T%C3%B4m%20H%C3%B9m%20Alaska%20-%20Kingcrab%20MrD&query_place_id=ChIJG7zx1NondTER08KHphCP-8k"
"Hầm Rượu Vang Don De Dieu","4.3","94","Hẻm 49 Hoàng Dư Khương","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 909 756 795","Nhà hàng","https://www.google.com/maps/search/?api=1&query=H%E1%BA%A7m%20R%C6%B0%E1%BB%A3u%20Vang%20Don%20De%20Dieu&query_place_id=ChIJbzbVEtkudTERxsVC6C3yPfQ"
"Nhà Hàng Nước Hằng Sống","4.2","88","110A Bành Văn Trân","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 28 3864 1079","Nhà hàng Việt Nam","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20N%C6%B0%E1%BB%9Bc%20H%E1%BA%B1ng%20S%E1%BB%91ng&query_place_id=ChIJhcjrB8sudTERzQtgg_2sTbs"
"Mì Ý Double B","3.9","686","266/70 Tô Hiến Thành","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN","http://miydoubleb.com/","+84 909 635 608","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Mi%CC%80%20Y%CC%81%20Double%20B&query_place_id=ChIJheG10PUvdTERcJxBkjS98Cc"
"Quán Ăn Gia Đình Sài Gòn","4","23","544 Đ. Lý Thường Kiệt","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng","https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n%20%C4%82n%20Gia%20%C4%90%C3%ACnh%20S%C3%A0i%20G%C3%B2n&query_place_id=ChIJM-pygcoudTERtF4ljmer5Io"
"Công Ty Tnhh Nhà Hàng Nam An","5","1","166 Phạm Phú Thứ","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20Ty%20Tnhh%20Nh%C3%A0%20H%C3%A0ng%20Nam%20An&query_place_id=ChIJdVbfILMudTER5EOClIoHUf4"
"Kichi Kichi Sư Vạn Hạnh","4.1","779","830 Sư Vạn Hạnh","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 28 7300 0218","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Kichi%20Kichi%20S%C6%B0%20V%E1%BA%A1n%20H%E1%BA%A1nh&query_place_id=ChIJSe59MNwudTERpjsCTrcvNQ0"
"TIỆM BÒ TẾU - 273 Bàu Cát, Tân Bình","3.9","372","273 Đ. Bàu Cát","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","https://www.facebook.com/tiemboteu273baucat","+84 978 212 024","Nhà hàng","https://www.google.com/maps/search/?api=1&query=TI%E1%BB%86M%20B%C3%92%20T%E1%BA%BEU%20-%20273%20B%C3%A0u%20C%C3%A1t%2C%20T%C3%A2n%20B%C3%ACnh&query_place_id=ChIJc5x3OtMvdTERBRMzrI8ylY0"
"Nhà Hàng Ẩm Thực Tiến Vua",,,"36 Cửu Long","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 28 2217 9475","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20%E1%BA%A8m%20Th%E1%BB%B1c%20Ti%E1%BA%BFn%20Vua&query_place_id=ChIJv9Rijs8udTERBd9UFCwMzOs"
"Hao Ky Restaurant","3.5","4","131/12 Tô Hiến Thành","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,"+84 28 6680 2383","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Hao%20Ky%20Restaurant&query_place_id=ChIJOT8tsNAudTERovJBh__Ypc4"
"Quan Ngoc Loan Snail Restaurant","3.8","11","98/119, 98/119 Thăng Long","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng","https://www.google.com/maps/search/?api=1&query=Quan%20Ngoc%20Loan%20Snail%20Restaurant&query_place_id=ChIJXzMuR80udTERXagh5LvVayg"
"NHÀ HÀNG HẢI SẢN PG",,,"2 Chấn Hưng","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng","https://www.google.com/maps/search/?api=1&query=NH%C3%80%20H%C3%80NG%20H%E1%BA%A2I%20S%E1%BA%A2N%20PG&query_place_id=ChIJEwZ4WQAvdTERum0fn1NVOhs"
"Co Bay Restaurant","2.3","4","296 Đ. Hồng Lạc","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN","http://baotricongtrinh.net/","+84 28 3971 4943","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Co%20Bay%20Restaurant&query_place_id=ChIJeQcWzrMudTERK_WQeVkh0S8"
"Nhà Hàng Phúc Hân",,,"63 Ni Sư Huỳnh Liên","Thành phố Hồ Chí Minh","Tân Bình, Thành phố Hồ Chí Minh","VN",,"+84 394 570 325","Nhà hàng","https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Ph%C3%BAc%20H%C3%A2n&query_place_id=ChIJAffkAG8vdTERGHqCJDjguy4"
"Công Ty Tnhh Nhà Hàng Nướng Bắc Hải",,,"327 Tô Hiến Thành","Thành phố Hồ Chí Minh","Quận 10, Thành phố Hồ Chí Minh","VN",,,"Nhà hàng","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20Ty%20Tnhh%20Nh%C3%A0%20H%C3%A0ng%20N%C6%B0%E1%BB%9Bng%20B%E1%BA%AFc%20H%E1%BA%A3i&query_place_id=ChIJnfP7KNsudTERGrHgw79brBE"
